Customer Name,Mobile,Email,Phone,GST Number,TAX Number,Country Name,State Name,City,Postcode,Address,Opening Balance
"Cust`ome""r N'ame 1",,abc@gmail.com,8465655645,GST123,TAX123,India,Karnataka,Banglore,591222,AP:Kabbur Tq:Chikodi,0
Customer Name 2,,abc@gmail.com,8465655645,GST123,TAX123,India,Karnataka,Banglore,591222,AP:Kabbur Tq:Chikodi,0
Customer Name 3,,abc@gmail.com,8465655645,GST123,TAX123,India,Karnataka,Banglore,591222,AP:Kabbur Tq:Chikodi,0
Customer Name 4,,abc@gmail.com,8465655645,GST123,TAX123,India,Karnataka,Banglore,591222,AP:Kabbur Tq:Chikodi,0
Customer Name 5,,abc@gmail.com,8465655645,GST123,TAX123,India,Karnataka,Banglore,591222,AP:Kabbur Tq:Chikodi,0
"Cust`ome""r N'ame 1",,abc@gmail.com,8465655645,GST123,TAX123,India,Karnataka,Banglore,591222,AP:Kabbur Tq:Chikodi,0
Customer Name 2,,abc@gmail.com,8465655645,GST123,TAX123,India,Karnataka,Banglore,591222,AP:Kabbur Tq:Chikodi,0
Customer Name 3,,abc@gmail.com,8465655645,GST123,TAX123,India,Karnataka,Banglore,591222,AP:Kabbur Tq:Chikodi,0
Customer Name 4,,abc@gmail.com,8465655645,GST123,TAX123,India,Karnataka,Banglore,591222,AP:Kabbur Tq:Chikodi,0
Customer Name 5,,abc@gmail.com,8465655645,GST123,TAX123,India,Karnataka,Banglore,591222,AP:Kabbur Tq:Chikodi,0
"Cust`ome""r N'ame 1",,abc@gmail.com,8465655645,GST123,TAX123,India,Karnataka,Banglore,591222,AP:Kabbur Tq:Chikodi,0
Customer Name 2,,abc@gmail.com,8465655645,GST123,TAX123,India,Karnataka,Banglore,591222,AP:Kabbur Tq:Chikodi,0
Customer Name 3,,abc@gmail.com,8465655645,GST123,TAX123,India,Karnataka,Banglore,591222,AP:Kabbur Tq:Chikodi,0
Customer Name 4,,abc@gmail.com,8465655645,GST123,TAX123,India,Karnataka,Banglore,591222,AP:Kabbur Tq:Chikodi,0
Customer Name 5,,abc@gmail.com,8465655645,GST123,TAX123,India,Karnataka,Banglore,591222,AP:Kabbur Tq:Chikodi,0
"Cust`ome""r N'ame 1",,abc@gmail.com,8465655645,GST123,TAX123,India,Karnataka,Banglore,591222,AP:Kabbur Tq:Chikodi,0
Customer Name 2,,abc@gmail.com,8465655645,GST123,TAX123,India,Karnataka,Banglore,591222,AP:Kabbur Tq:Chikodi,0
Customer Name 3,,abc@gmail.com,8465655645,GST123,TAX123,India,Karnataka,Banglore,591222,AP:Kabbur Tq:Chikodi,0
Customer Name 4,,abc@gmail.com,8465655645,GST123,TAX123,India,Karnataka,Banglore,591222,AP:Kabbur Tq:Chikodi,0
Customer Name 5,,abc@gmail.com,8465655645,GST123,TAX123,India,Karnataka,Banglore,591222,AP:Kabbur Tq:Chikodi,0
"Cust`ome""r N'ame 1",,abc@gmail.com,8465655645,GST123,TAX123,India,Karnataka,Banglore,591222,AP:Kabbur Tq:Chikodi,0
Customer Name 2,,abc@gmail.com,8465655645,GST123,TAX123,India,Karnataka,Banglore,591222,AP:Kabbur Tq:Chikodi,0
